,Label,LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,Result,testing_label1,testing_label2,original_prediction1,original_prediction2
0,mth,-1.5433050390204037,-0.9975861172192316,-1.0618704327270447,-1.3457266836085482,-1.273783614895866,-1.105681235691483,-1.3010065752299527,-1.609339742958973,True,0.0,1.0,0.001560091390274465,0.9984399676322937
1,mth,-1.7924801752882835,-0.965245989635243,-1.2919024544913735,-1.7170354129535184,-1.8387527684437857,-1.3797632950188907,-1.6405904970194638,-1.8783430255593208,True,0.0,1.0,0.00047696763067506254,0.9995230436325073
2,mth,0.10776907448154203,-1.196428053401976,-1.3367444668421453,-1.3810694063792692,-1.3402057428503362,-1.3415616059203517,-1.3670603625419568,-1.3237548660948144,True,0.0,1.0,0.0010031349956989288,0.998996913433075
3,mth,-0.010818299360050338,-1.1707904662354087,-1.0669921324722678,-1.0424379319124886,-1.0199792408956543,-1.146795933660011,-1.138209327534303,-0.9771544502565148,True,0.0,1.0,0.0025890949182212353,0.9974109530448914
4,mth,0.0035397865114956293,-0.4096110638224004,-0.7230643365052002,-1.1326834768280174,-1.3724768562724297,-1.5381777458830792,-1.3455453960678636,-0.9700244744080196,True,0.0,1.0,0.0038747007492929697,0.9961252808570862
5,mth,-0.6189560177639181,-0.35701282912163673,-0.5340173167915445,-0.5391687980195324,-0.5636256148024601,-0.7482668034497834,-0.9203874283435659,-1.394048191397859,True,0.0,1.0,0.02941630221903324,0.9705836772918701
6,mth,-0.7959646818031754,-0.537121784557941,-0.6517088807985346,-0.553987706336566,-0.10673533230231814,-0.44491195764958313,-0.4801588429940816,-0.4455794889899333,True,0.0,1.0,0.04418635740876198,0.9558137059211731
7,mtg,-1.4226564007130358,-0.7510004600782211,0.31671754033797184,0.1265087572088505,0.5338422280220221,0.5445561944037386,0.7493364654210108,0.6840682737435613,True,1.0,0.0,0.9910961389541626,0.008903814479708672
8,mtg,-0.27710410315206685,0.5063974750377077,1.4801406654377711,0.4141968547693895,0.4020291426905453,0.5536757450942578,0.5609011311360529,0.3719634203765844,True,1.0,0.0,0.9836505055427551,0.016349442303180695
9,mtg,-1.1209947561383773,-0.8110918785749576,0.10631633716033931,0.0028455574853389815,-0.05110175189325589,0.5882680111637018,0.7721328151488773,0.8333469031959552,True,1.0,0.0,0.958704948425293,0.041295070201158524
10,mtg,-0.9123772692474295,1.5342359714253269,1.5419053489085384,1.0713544059240914,0.7891186248230245,0.8530923938921324,0.6691232880434207,1.1405764464743153,True,1.0,0.0,0.9977738261222839,0.0022261664271354675
11,mtg,-1.6224558240058216,1.5137060454512996,1.7289713672561873,0.7695056608262149,0.3208327964742301,0.24957367929205757,0.37851462341032766,0.2392456038209662,True,1.0,0.0,0.9969306588172913,0.003069346770644188
